City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Krasnoborsk,88,RU,1552663196,84,61.56,45.93,28.81,7.2
Rawson,75,AR,1552660200,93,-43.3,-65.11,62.6,9.17
Chapais,90,CA,1552662000,93,49.78,-74.86,41.0,17.22
College,1,US,1552662950,85,64.86,-147.8,24.01,7.31
Rio Tuba,0,PH,1552663201,92,8.51,117.43,81.01,9.1
Kinsale,75,IE,1552662720,76,51.71,-8.52,51.8,16.11
Arauca,75,VE,1552658400,62,7.08,-70.76,86.0,8.05
San Jeronimo,90,PE,1552658400,87,-13.65,-73.37,48.2,8.05
Monrovia,40,LR,1552662000,59,6.33,-10.8,93.2,11.41
Grand Gaube,40,MU,1552663144,78,-20.01,57.66,81.0,5.82
Yenagoa,24,NG,1552663208,67,4.92,6.26,90.82,8.66
Mnogovershinnyy,24,RU,1552663209,80,53.94,139.92,9.64,1.28
Basse,75,DE,1552663102,66,52.55,9.51,55.4,26.4
Tocache,76,PE,1552663212,85,-8.19,-76.51,65.17,2.39
Coquimbo,90,CL,1552658400,77,-29.95,-71.34,62.6,2.06
Biak,56,ID,1552663214,79,-0.91,122.88,82.81,7.2
Pacifica,40,US,1552663212,81,37.61,-122.49,48.99,1.61
Esperance,20,TT,1552662980,65,10.24,-61.45,84.99,13.87
Cururupu,64,BR,1552663217,96,-1.82,-44.87,81.01,5.97
Sandakan,40,MY,1552658400,78,5.84,118.12,80.6,5.82
Edgewater,1,US,1552663204,69,28.99,-80.9,81.0,6.93
Codrington,40,AU,1552663037,93,-28.95,153.24,68.0,4.7
Mariestad,90,SE,1552663142,86,58.71,13.82,39.99,4.7
Narsaq,20,GL,1552661400,57,60.91,-46.05,17.6,1.12
Correderos,20,HN,1552662972,61,15.42,-88.45,88.0,2.17
Dwarka,20,IN,1552662908,56,28.58,77.04,75.99,8.05
Vung Tau,64,VN,1552663229,92,10.35,107.08,82.36,19.06
Tura,44,IN,1552663158,85,25.52,90.21,65.17,3.62
Ongwediva,8,NA,1552658400,18,-17.78,15.77,100.4,4.7
Gravdal,75,NO,1552663209,93,59.79,5.78,41.0,11.41
Ishigaki,80,JP,1552663160,100,24.34,124.16,70.39,23.76
Jinxiang,0,CN,1552663234,35,35.07,116.31,45.19,10.0
Marsa Matruh,20,EG,1552662000,59,31.35,27.25,62.6,23.04
Usinsk,0,RU,1552663237,63,66.0,57.56,3.7,6.42
Meadow Lake,90,CA,1552662000,79,54.13,-108.44,19.4,2.24
Skrunda,92,LV,1552661400,100,56.68,22.02,39.2,6.93
Rio Cuarto,90,AR,1552658400,93,-33.13,-64.35,60.8,10.22
Pushkino,0,RU,1552663055,55,56.01,37.85,37.4,11.18
Fare,68,PF,1552663244,100,-16.7,-151.02,80.2,5.75
Hobyo,0,SO,1552663245,74,5.35,48.53,81.64,15.26
Upington,20,ZA,1552662000,18,-28.46,21.24,98.6,3.36
Kokopo,80,PG,1552663247,100,-4.34,152.27,77.5,4.52
Carndonagh,75,IE,1552659600,66,55.25,-7.27,48.2,25.28
Nuuk,75,GL,1552662761,66,64.17,-51.74,15.8,9.17
Elat,24,CM,1552663251,66,2.91,11.16,83.17,2.95
Tuatapere,8,NZ,1552662604,92,-46.13,167.69,48.99,4.18
Cherskiy,44,RU,1552663230,35,68.75,161.3,-23.75,3.18
Ngunguru,92,NZ,1552662485,90,-35.62,174.5,64.0,8.21
Verkhnyaya Toyma,80,RU,1552663255,85,62.24,45.0,26.47,8.21
Faya,40,SA,1552658400,52,18.39,42.45,73.4,13.87
Pimentel,88,BR,1552663258,74,-3.7,-45.5,86.59,3.62
Zaraza,20,VE,1552663233,43,9.35,-65.33,90.1,8.88
Makakilo City,1,US,1552663235,77,21.35,-158.09,71.6,4.7
Touros,75,BR,1552662000,94,-5.2,-35.46,80.6,9.17
Awjilah,0,LY,1552663259,37,29.14,21.3,68.59,17.38
Areosa,0,PT,1552663258,55,41.72,-8.86,73.0,5.82
Maunabo,40,PR,1552663252,65,18.01,-65.9,82.99,6.93
Druskininkai,90,LT,1552658400,86,54.02,23.98,39.2,8.95
Mazagao,75,BR,1552658400,74,-0.12,-51.29,87.8,13.87
Anadyr,90,RU,1552662787,78,64.73,177.51,8.6,15.66
Atasu,0,KZ,1552663269,92,48.68,71.64,27.73,14.25
Mananjary,92,MG,1552663270,93,-19.16,46.8,68.14,5.08
Hakkari,90,FI,1552663223,93,61.34,23.75,37.0,4.7
Igrim,76,RU,1552663273,74,63.19,64.42,19.99,12.01
Mildura,0,AU,1552662966,39,-34.18,142.16,64.4,6.93
Madimba,40,CM,1552662000,74,4.42,9.93,87.8,4.7
Tosno,75,RU,1552663235,87,59.54,30.88,37.99,13.42
Lexington,90,US,1552663212,57,38.05,-84.5,52.0,16.11
Alofi,75,NU,1552658400,100,-19.06,-169.92,75.2,2.24
Florianopolis,75,BR,1552662984,74,-27.6,-48.55,81.0,4.7
Liancheng,92,CN,1552663282,96,24.05,105.06,50.41,3.62
Manokwari,76,ID,1552663283,100,-0.87,134.08,78.85,12.01
Taoudenni,0,ML,1552663232,13,22.68,-3.98,89.02,13.8
Talnakh,44,RU,1552663191,85,69.49,88.39,2.17,4.18
Okhotsk,56,RU,1552663175,100,59.36,143.24,6.67,4.29
Flinders,75,AU,1552663145,100,-34.58,150.85,71.01,10.29
Dunedin,92,NZ,1552662701,92,-45.87,170.5,53.01,1.01
Parana,75,BR,1552660200,83,-7.52,-72.89,80.6,5.82
Ulagan,0,RU,1552663295,66,50.63,87.96,11.08,1.95
Vardo,90,US,1552663227,48,39.62,-77.74,71.01,6.93
Gamba,64,CN,1552663297,58,28.28,88.52,5.77,2.17
Pevek,20,RU,1552663182,44,69.7,170.27,-27.98,1.72
Praia da Vitoria,40,PT,1552662907,72,38.73,-27.07,63.0,13.91
Kamaishi,92,JP,1552663302,84,39.28,141.86,40.42,7.2
Cayenne,75,GF,1552660200,66,4.94,-52.33,84.2,12.75
Mehamn,75,NO,1552657800,86,71.03,27.85,32.0,27.51
Paita,90,PE,1552658400,290,-5.09,-81.11,62.6,8.05
Birao,24,CF,1552663307,12,10.3,22.78,100.54,14.14
Karratha,0,AU,1552663308,63,-20.74,116.85,80.11,8.66
Coihaique,40,CL,1552658400,71,-45.58,-72.07,57.2,2.24
Souris,90,CA,1552663241,74,46.36,-62.25,41.0,21.92
Mon,44,IN,1552663312,78,26.73,95.03,69.22,7.65
Souillac,75,FR,1552663090,93,45.6,-0.6,55.99,14.99
Nabire,80,ID,1552663236,98,-3.36,135.5,69.4,1.72
San Jose,36,PH,1552663316,96,15.79,120.99,71.83,2.06
Sahuaripa,76,MX,1552663317,74,29.05,-109.23,51.76,2.39
Warrenton,12,ZA,1552663209,29,-28.11,24.85,90.01,4.63
Nanortalik,0,GL,1552663171,100,60.14,-45.24,22.42,8.32
Burewala,0,PK,1552663321,61,30.16,72.68,66.34,4.74
Jalu,0,LY,1552663233,35,29.03,21.55,69.49,15.82
Altay,12,CN,1552663324,61,47.83,88.13,11.53,2.17
Te Anau,0,NZ,1552663258,92,-45.41,167.72,37.63,2.39
Ilhabela,32,BR,1552663326,100,-23.78,-45.36,80.02,8.99
Laguna,88,MX,1552663327,59,27.52,-110.01,56.71,1.95
Miyako,40,JP,1552663205,75,33.63,130.94,48.99,12.75
Katobu,92,ID,1552663330,100,-4.94,122.53,76.33,5.41
Sangar,0,RU,1552663331,62,63.92,127.47,-8.18,2.17
Russell,0,AR,1552662000,71,-33.01,-68.8,66.2,12.75
Busilac,36,PH,1552663333,95,16.48,121.12,65.71,1.61
Fairbanks,1,US,1552663001,85,64.84,-147.72,24.01,7.31
Georgetown,75,GY,1552658400,88,6.8,-58.16,80.6,4.7
Merauke,80,ID,1552663338,100,-8.49,140.4,75.52,4.74
Beloha,0,MG,1552663189,42,-25.17,45.06,80.74,16.71
Manaure,20,CO,1552658400,83,11.78,-72.45,77.0,9.17
Vostok,64,RU,1552663176,79,46.45,135.83,17.11,2.17
Saint-Pierre,90,FR,1552663325,87,48.95,4.24,55.4,23.04
Alice Springs,0,AU,1552660200,23,-23.7,133.88,73.4,3.36
Boyolangu,44,ID,1552663345,91,-8.09,111.9,73.0,5.3
Rincon,1,US,1552663309,69,32.3,-81.24,75.2,9.17
Ambilobe,92,MG,1552663347,100,-13.19,49.05,73.63,2.17
Oranjemund,68,ZA,1552663247,92,-28.55,16.43,65.08,6.76
Kondinskoye,92,RU,1552663349,92,59.65,67.41,28.72,14.58
Guerrero Negro,0,MX,1552663244,67,27.97,-114.04,49.15,6.53
Kangaatsiaq,68,GL,1552663352,100,68.31,-53.46,7.12,7.43
Nome,90,US,1552663182,91,30.04,-94.42,55.0,18.34
Australind,0,AU,1552663209,52,-33.28,115.72,64.0,13.24
Jaru,20,BR,1552663356,70,-10.43,-62.48,88.57,2.62
Sharjah,68,AE,1552658400,78,25.36,55.39,73.4,20.8
Guarapari,20,BR,1552662301,59,-20.67,-40.5,93.2,8.05
Tevriz,64,RU,1552663360,74,57.51,72.4,26.74,11.68
Deqing,44,CN,1552663359,54,30.54,119.97,55.0,2.24
Ohangaron,0,UZ,1552660200,31,40.91,69.65,64.4,4.7
Manzil Salim,20,TN,1552662000,41,35.86,8.48,60.8,18.34
Tabas,80,IR,1552663364,67,33.6,56.92,57.34,6.42
Matadi,8,CD,1552663366,83,-5.83,13.46,84.79,8.1
Atar,0,MR,1552663248,10,20.52,-13.05,92.26,12.24
Najran,40,SA,1552658400,27,17.54,44.22,89.6,9.17
Sosva,80,RU,1552663370,62,59.17,61.86,22.42,11.56
Luvianos,0,MX,1552663371,53,18.92,-100.4,64.9,2.73
Portachuelo,75,BO,1552658400,74,-17.35,-63.39,84.2,14.99
Batagay-Alyta,20,RU,1552663203,27,67.8,130.41,-20.51,2.62
Hofn,75,IS,1552662000,69,64.25,-15.21,39.2,9.17
Lima,75,PE,1552662728,88,-12.06,-77.04,73.0,5.82
Seoul,90,KR,1552661400,93,37.57,126.98,37.4,1.12
Shawnee,1,US,1552663280,41,35.33,-96.93,45.0,18.34
Kulachi,0,PK,1552663380,81,31.93,70.46,54.37,2.06
Oskemen,0,KZ,1552660200,69,49.96,82.61,33.8,2.24
Tres Arroyos,80,AR,1552663383,92,-38.38,-60.28,66.61,14.14
Mahebourg,40,MU,1552663144,78,-20.41,57.7,81.0,5.82
Ontario,1,US,1552663381,25,34.07,-117.65,63.0,2.95
Mahibadhoo,48,MV,1552663386,100,3.78,72.97,82.54,3.74
Springville,1,US,1552663223,73,40.17,-111.61,33.01,4.7
Nushki,68,PK,1552663389,63,29.55,66.02,52.39,2.17
Leh,56,IN,1552663211,68,34.16,77.58,-1.52,1.61
Sal Rei,0,CV,1552662000,61,16.18,-22.92,80.6,18.34
Olinda,40,EC,1552663237,79,-2.03,-79.75,86.0,3.36
